path,label,split,source,language,generation_type,channel_type,codec,original_recording_id,original_recording_group,segment_id,duration_sec,clipping_flag,silence_ratio,benchmark_name,notes,call_profile,norm_source
/workspace/deepfake-voice-fraud-dedection/data/call_normalized_v4/narrowband_g711/train/fake/wf_full_band_melgan_0_0013_g711.wav,fake,train,__ext__:balanced_v2,en,synthetic_vocoder,digital,wav_pcm_norm,balanced_v2_wf_full_band_melgan_0_0013,balanced_v2_wf_full_band_melgan_0_0013,616,9.93,0,0.1149,,,narrowband_g711,/workspace/datasets/balanced_v2/fake/wf_full_band_melgan_0_0013.wav
/workspace/deepfake-voice-fraud-dedection/data/call_normalized_v4/wideband_opus/train/fake/wf_full_band_melgan_0_0013_opus.wav,fake,train,__ext__:balanced_v2,en,synthetic_vocoder,digital,wav_pcm_norm,balanced_v2_wf_full_band_melgan_0_0013,balanced_v2_wf_full_band_melgan_0_0013,616,9.93,0,0.1149,,,wideband_opus,/workspace/datasets/balanced_v2/fake/wf_full_band_melgan_0_0013.wav
/workspace/deepfake-voice-fraud-dedection/data/call_normalized_v4/narrowband_g711/train/fake/wf_melgan_0_0023_g711.wav,fake,train,__ext__:balanced_v2,en,synthetic_vocoder,digital,wav_pcm_norm,balanced_v2_wf_melgan_0_0023,balanced_v2_wf_melgan_0_0023,553,7.85,0,0.1158,,,narrowband_g711,/workspace/datasets/balanced_v2/fake/wf_melgan_0_0023.wav
/workspace/deepfake-voice-fraud-dedection/data/call_normalized_v4/wideband_opus/train/fake/wf_melgan_0_0023_opus.wav,fake,train,__ext__:balanced_v2,en,synthetic_vocoder,digital,wav_pcm_norm,balanced_v2_wf_melgan_0_0023,balanced_v2_wf_melgan_0_0023,553,7.85,0,0.1158,,,wideband_opus,/workspace/datasets/balanced_v2/fake/wf_melgan_0_0023.wav
/workspace/deepfake-voice-fraud-dedection/data/call_normalized_v4/narrowband_g711/train/fake/wf_parallel_wavegan_2_0023_g711.wav,fake,train,__ext__:balanced_v2,en,synthetic_vocoder,digital,wav_pcm_norm,balanced_v2_wf_parallel_wavegan_2_0023,balanced_v2_wf_parallel_wavegan_2_0023,205,6.06,0,0.1114,,,narrowband_g711,/workspace/datasets/balanced_v2/fake/wf_parallel_wavegan_2_0023.wav
/workspace/deepfake-voice-fraud-dedection/data/call_normalized_v4/wideband_opus/train/fake/wf_parallel_wavegan_2_0023_opus.wav,fake,train,__ext__:balanced_v2,en,synthetic_vocoder,digital,wav_pcm_norm,balanced_v2_wf_parallel_wavegan_2_0023,balanced_v2_wf_parallel_wavegan_2_0023,205,6.06,0,0.1114,,,wideband_opus,/workspace/datasets/balanced_v2/fake/wf_parallel_wavegan_2_0023.wav
/workspace/deepfake-voice-fraud-dedection/data/call_normalized_v4/narrowband_g711/train/fake/wf_hifigan_0_0029_g711.wav,fake,train,__ext__:balanced_v2,en,synthetic_vocoder,digital,wav_pcm_norm,balanced_v2_wf_hifigan_0_0029,balanced_v2_wf_hifigan_0_0029,96,6.92,0,0.1526,,,narrowband_g711,/workspace/datasets/balanced_v2/fake/wf_hifigan_0_0029.wav
/workspace/deepfake-voice-fraud-dedection/data/call_normalized_v4/wideband_opus/train/fake/wf_hifigan_0_0029_opus.wav,fake,train,__ext__:balanced_v2,en,synthetic_vocoder,digital,wav_pcm_norm,balanced_v2_wf_hifigan_0_0029,balanced_v2_wf_hifigan_0_0029,96,6.92,0,0.1526,,,wideband_opus,/workspace/datasets/balanced_v2/fake/wf_hifigan_0_0029.wav
/workspace/deepfake-voice-fraud-dedection/data/call_normalized_v4/narrowband_g711/train/fake/gs_fake_train_0199_g711.wav,fake,train,__ext__:balanced_v2,en,synthetic_tts,digital,wav_pcm_norm,balanced_v2_gs_fake_train_0199,balanced_v2_gs_fake_train_0199,351,2.816,0,0.0984,,,narrowband_g711,/workspace/datasets/balanced_v2/fake/gs_fake_train_0199.wav
/workspace/deepfake-voice-fraud-dedection/data/call_normalized_v4/wideband_opus/train/fake/gs_fake_train_0199_opus.wav,fake,train,__ext__:balanced_v2,en,synthetic_tts,digital,wav_pcm_norm,balanced_v2_gs_fake_train_0199,balanced_v2_gs_fake_train_0199,351,2.816,0,0.0984,,,wideband_opus,/workspace/datasets/balanced_v2/fake/gs_fake_train_0199.wav
